<Saved Data Information>											
���� �Ͻ� = 2016-12-07 19:40:10											
���� ���� = 200											
											
No	Measured DateTime	Calibration DB	Temperature [C]	Tree [No]	Sugar [Brix]	Acidity [%]	Firmness [Kgf]	DryMatter [%]	Coloring [%]	Size	Browning
73	2016-12-07 18:53	persimon	33	0	9.5	0	0	0	0	0	0
74	2016-12-07 18:53	persimon	33	0	10.4	0	0	0	0	0	0
75	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
76	2016-12-07 18:53	persimon	34	0	10.6	0	0	0	0	0	0
77	2016-12-07 18:53	persimon	34	0	9.9	0	0	0	0	0	0
78	2016-12-07 18:53	persimon	34	0	10.4	0	0	0	0	0	0
79	2016-12-07 18:54	persimon	34	0	9.8	0	0	0	0	0	0
80	2016-12-07 18:54	persimon	34	0	9.7	0	0	0	0	0	0
81	2016-12-07 18:54	banana	34	0	14.3	0	0	0	0	0	0
82	2016-12-07 18:54	banana	34	0	14.9	0	0	0	0	0	0
83	2016-12-07 18:54	banana	34	0	15.2	0	0	0	0	0	0
84	2016-12-07 18:54	banana	34	0	14.8	0	0	0	0	0	0
85	2016-12-07 18:54	banana	34	0	14.8	0	0	0	0	0	0
86	2016-12-07 18:53	banana	33	0	15.1	0	0	0	0	0	0
87	2016-12-07 18:53	banana	33	0	14.7	0	0	0	0	0	0
88	2016-12-07 18:53	banana	33	0	14.7	0	0	0	0	0	0
89	2016-12-07 18:53	banana	33	0	14.6	0	0	0	0	0	0
90	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
91	2016-12-07 18:53	persimon	34	0	10.6	0	0	0	0	0	0
92	2016-12-07 18:53	persimon	34	0	10.2	0	0	0	0	0	0
93	2016-12-07 18:53	persimon	34	0	10.1	0	0	0	0	0	0
94	2016-12-07 18:54	banana	34	0	15.5	0	0	0	0	0	0
95	2016-12-07 18:54	banana	34	0	14.6	0	0	0	0	0	0
96	2016-12-07 18:54	banana	34	0	14.3	0	0	0	0	0	0
97	2016-12-07 18:54	banana	34	0	14.9	0	0	0	0	0	0
98	2016-12-07 18:54	banana	34	0	15.2	0	0	0	0	0	0
99	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
100	2016-12-07 18:54	persimon	34	0	10.1	0	0	0	0	0	0
101	2016-12-07 18:53	persimon	33	0	10.5	0	0	0	0	0	0
102	2016-12-07 18:53	persimon	33	0	10.2	0	0	0	0	0	0
103	2016-12-07 18:53	persimon	33	0	10.4	0	0	0	0	0	0
104	2016-12-07 18:53	persimon	33	0	9.5	0	0	0	0	0	0
105	2016-12-07 18:53	persimon	33	0	10.4	0	0	0	0	0	0
106	2016-12-07 18:53	melon	34	0	17.5	0	0	0	0	0	0
107	2016-12-07 18:53	melon	34	0	17.9	0	0	0	0	0	0
108	2016-12-07 18:53	melon	34	0	18.1	0	0	0	0	0	0
109	2016-12-07 18:54	melon	34	0	18.2	0	0	0	0	0	0
110	2016-12-07 18:54	melon	34	0	17.7	0	0	0	0	0	0
111	2016-12-07 18:54	melon	34	0	17.6	0	0	0	0	0	0
112	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
113	2016-12-07 18:54	persimon	34	0	10.6	0	0	0	0	0	0
114	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
115	2016-12-07 18:54	persimon	34	0	10.4	0	0	0	0	0	0
116	2016-12-07 18:53	persimon	33	0	9.8	0	0	0	0	0	0
117	2016-12-07 18:53	persimon	33	0	9.7	0	0	0	0	0	0
118	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
119	2016-12-07 18:53	persimon	33	0	10.6	0	0	0	0	0	0
120	2016-12-07 18:53	persimon	33	0	10.2	0	0	0	0	0	0
121	2016-12-07 18:53	persimon	34	0	10.1	0	0	0	0	0	0
122	2016-12-07 18:53	persimon	34	0	9.9	0	0	0	0	0	0
123	2016-12-07 18:53	persimon	34	0	10.1	0	0	0	0	0	0
124	2016-12-07 18:54	persimon	34	0	10.5	0	0	0	0	0	0
125	2016-12-07 18:54	persimon	34	0	10.2	0	0	0	0	0	0
126	2016-12-07 18:54	persimon	34	0	10.4	0	0	0	0	0	0
127	2016-12-07 18:54	persimon	34	0	9.5	0	0	0	0	0	0
128	2016-12-07 18:54	persimon	34	0	10.4	0	0	0	0	0	0
129	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
130	2016-12-07 18:54	persimon	34	0	10.6	0	0	0	0	0	0
131	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
132	2016-12-07 18:53	persimon	33	0	10.4	0	0	0	0	0	0
133	2016-12-07 18:53	persimon	33	0	9.8	0	0	0	0	0	0
134	2016-12-07 18:53	persimon	33	0	9.7	0	0	0	0	0	0
135	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
136	2016-12-07 18:53	persimon	34	0	10.6	0	0	0	0	0	0
